,user_id,dt,condition,id_int,puzzle_cnt,phase,chosen_graph,diff,greedy_solve,greedy_first_v,mis_size,prob,vertices,edges,intersects,valid_sols,success,success_fine,collisions,cumu_success,cumu_fail,cumu_quickfail,cumu_timeout,cumu_success_avg,cumu_fail_avg,has_success,has_fail,has_timeout,avg_success_diff,avg_fail_diff,avg_timeout_diff,time,clicks,selected,cnt_set,cnt_unset,cnt_reset,max_is,cnt_correct,cnt_incorrect,cnt_neutral
0,static-inc:1,1666604138703.0,static-inc,30,1,pre-test,301,40.25320317266626,False,False,5,0.3278,10,15,1,1,True,success,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,10.84,5,5,5,0,0,5,5,0,0
1,static-inc:1,1666604151813.0,static-inc,30,2,pre-test,306,83.8921568627451,True,True,7,0.1632,15,26,8,1,True,success,0,1,0,0,0,0.5,0.0,1,0,0,40.25320317266626,0,0,14.04,7,7,7,0,0,7,7,0,0
2,static-inc:1,1666604167378.0,static-inc,30,3,pre-test,303,69.83363148479428,False,True,6,0.2236,15,28,6,3,False,quick_blunder,2,2,0,0,0,0.6666666666666666,0.0,1,0,0,62.07268001770568,0,0,15.297,6,6,6,0,0,3,3,1,2
3,static-inc:1,1666604194196.0,static-inc,30,4,train,154,42.14330287497214,False,False,5,0.4487,12,19,5,5,True,success,0,2,1,1,0,0.5,0.25,1,1,0,62.07268001770568,69.83363148479428,0,15.837,5,5,5,0,0,5,5,0,0
4,static-inc:2,1666604188870.0,static-inc,31,1,pre-test,306,83.8921568627451,True,True,7,0.1632,15,26,8,1,False,blunder,1,0,0,0,0,0.0,0.0,0,0,0,0,0,0,23.94,6,6,6,0,0,5,2,1,3
5,self-det:1,1666604211351.0,self-det,0,1,pre-test,301,40.25320317266626,False,False,5,0.3278,10,15,1,1,True,success,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,10.743,5,5,5,0,0,5,5,0,0
6,static-inc:1,1666604211478.0,static-inc,30,5,train,93,46.23716089404539,True,True,6,0.5861,13,23,6,5,True,success,0,3,1,1,0,0.6,0.2,1,1,0,55.42955430346117,69.83363148479428,0,12.409,6,6,6,0,0,6,6,0,0
7,self-det:2,1666604211461.0,self-det,1,1,pre-test,306,83.8921568627451,True,True,7,0.1632,15,26,8,1,False,quick_blunder,4,0,0,0,0,0.0,0.0,0,0,0,0,0,0,15.879,7,7,7,0,0,5,4,1,2
8,static-inc:1,1666604225171.0,static-inc,30,6,train,91,49.28662420382166,True,True,6,0.3925,13,21,3,3,True,success,0,4,1,1,0,0.6666666666666666,0.16666666666666666,1,1,0,53.13145595110722,69.83363148479428,0,12.504,6,6,6,0,0,6,6,0,0
9,static-inc:2,1666604214988.0,static-inc,31,2,pre-test,304,69.52080344332855,True,True,6,0.2788,15,33,17,3,False,blunder,1,0,1,0,0,0.0,0.5,0,1,0,0,83.8921568627451,0,29.147,8,6,7,1,0,4,1,1,6
